,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
24,MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
25,SK Raina (INDIA),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
26,S Dhawan (INDIA),2011-2020,61,59,3,1588,92,28.35,1238,128.27,0,10,1,175,47
27,GJ Maxwell (AUS),2012-2019,61,54,9,1576,145*,35.02,985,160.00,3,7,1,133,81
28,Shakib Al Hasan (BDESH),2006-2019,76,76,10,1567,84,23.74,1266,123.77,0,9,5,163,33
29,DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
30,Mahmudullah (BDESH),2007-2020,87,79,18,1475,64*,24.18,1201,122.81,0,4,2,117,48
31,Babar Azam (PAK),2016-2020,38,38,9,1471,97*,50.72,1148,128.13,0,13,1,146,21
32,Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33
33,SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
34,KL Rahul (INDIA),2016-2020,42,38,6,1461,110*,45.65,1000,146.10,2,11,1,129,61
35,Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73
36,DA Miller (SA/World),2010-2020,78,68,20,1409,101*,29.35,1018,138.40,1,2,0,96,61
37,F du Plessis (SA/World),2012-2020,47,47,6,1407,119,34.31,1049,134.12,1,8,0,130,45
38,KJ Coetzer (SCOT),2008-2019,58,56,2,1386,89,25.66,1136,122.00,0,6,3,144,45
39,KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20
40,Mohammad Nabi (AFG),2010-2020,78,72,11,1347,89,22.08,927,145.30,0,4,4,85,79
41,JC Buttler (ENG),2011-2020,69,61,11,1334,73*,26.68,955,139.68,0,8,3,114,55
42,MDKJ Perera (SL),2013-2020,47,46,0,1293,84,28.10,956,135.25,0,12,0,123,47
43,Mushfiqur Rahim (BDESH),2006-2020,86,77,13,1282,72*,20.03,1068,120.03,0,5,5,110,33
44,HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26
45,GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
46,Asghar Afghan (AFG),2010-2020,69,63,4,1248,62,21.15,1160,107.58,0,3,5,75,62
47,RD Berrington (SCOT),2008-2019,61,54,10,1247,100,28.34,967,128.95,1,3,6,117,36
48,Q de Kock (SA),2012-2020,44,44,5,1226,79*,31.43,901,136.07,0,6,3,129,50
49,NLTC Perera (ICC/SL/World),2010-2020,81,72,22,1201,61,24.02,787,152.60,0,3,8,88,64
50,LMP Simmons (WI),2007-2020,54,53,9,1189,91*,27.02,966,123.08,0,8,6,108,51
51,Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
52,KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
53,DJ Bravo (WI),2006-2020,71,60,12,1151,66*,23.97,988,116.49,0,4,4,67,50
54,KA Pollard (WI),2008-2020,73,60,12,1123,68,23.39,849,132.27,0,4,1,73,66
55,AD Mathews (SL),2009-2020,75,60,18,1119,81*,26.64,943,118.66,0,5,1,72,38
56,BN Cooper (NL),2013-2019,51,48,9,1094,91*,28.05,890,122.92,0,7,5,96,36
57,WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
58,CS MacLeod (SCOT),2009-2019,49,47,7,1042,74,26.05,905,115.13,0,7,4,93,21
59,Samiullah Shinwari (AFG),2010-2020,64,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
60,HG Munsey (SCOT),2015-2019,38,36,3,987,127*,29.90,640,154.21,1,5,4,114,45
61,Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31
62,CL White (AUS),2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44
63,GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
64,Najibullah Zadran (AFG),2012-2020,60,51,20,976,69*,31.48,694,140.63,0,3,2,63,52
65,Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43
66,Sabbir Rahman (BDESH),2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28
67,A Balbirnie (IRE),2015-2020,43,39,2,945,83,25.54,728,129.80,0,4,3,111,13
68,E Lewis (WI),2016-2020,32,31,2,934,125*,32.20,601,155.40,2,6,3,64,73
69,G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
70,JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.30,0,5,2,92,16
71,Soumya Sarkar (BDESH),2015-2020,50,50,3,885,62*,18.82,706,125.35,0,2,8,86,35
72,BRM Taylor (ZIM),2006-2020,40,40,6,878,75*,25.82,731,120.10,0,6,5,87,24
73,MP O'Dowd (NL),2015-2019,36,35,2,866,69,26.24,718,120.61,0,6,0,83,19
74,JJ Roy (ENG),2014-2020,35,35,0,860,78,24.57,583,147.51,0,5,4,85,41
75,E Chigumbura (ZIM),2006-2019,54,53,9,852,54*,19.36,597,142.71,0,3,6,58,51
76,SC Williams (ZIM),2006-2020,40,40,5,844,66,24.11,650,129.84,0,6,4,76,26
77,Sarfaraz Ahmed (PAK),2010-2019,58,41,12,812,89*,28.00,641,126.67,0,3,2,79,15
78,LD Chandimal (SL),2010-2018,54,47,4,800,58,18.60,766,104.43,0,4,0,73,16
79,P Khadka (NEPAL),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
80,W Barresi (NL),2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21
81,Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26
82,Rohan Mustafa (UAE),2014-2020,43,42,2,766,77,19.15,625,122.56,0,3,4,91,22
83,Muhammad Usman (UAE),2016-2020,39,36,5,765,89*,24.67,640,119.53,0,3,3,65,24
84,ADS Fletcher (WI),2008-2018,42,40,4,765,84*,21.25,707,108.20,0,6,6,54,37
85,LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.00,0,4,9,68,31
86,Fakhar Zaman (PAK),2017-2019,34,33,0,756,91,22.90,553,136.70,0,4,2,86,22
87,DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34
88,MH Cross (SCOT),2013-2019,43,35,6,755,66*,26.03,593,127.31,0,5,3,77,22
